部門	國碼	店內碼	品名
A10	4714551800267 		ELLE細紋拉鍊包(小)-3版
A10	4714551800236 		ELLE細紋名片盒-3版
A10	4714551800342 		ELLE4*6精裝相本-3版
A10	4714551900097 		宇宙人透明手機帶(長)-3版
A10	8888021200171 		勁量鹼性電池-9V
A07	4711014088002 		T型全透明彈性褲襪(3入)8800      
A10	2100000003624 		小可愛寶貝動物玩偶(多款)-15''
A09	4710689105014 		小通小水管疏通劑14oz
A02	4901331007422 		貝印 L 型修毛刀-5入
A09	4711914939077 		X07-方形巧妝盒
A09	4711914938872 		TT207-巧手袋-中
A09	4711914938889 		TT208-巧手袋-小
A09	4711914938919 		TT211-旅行袋-小
A09	4711914937042 		T04-輕巧化妝盒30g
A09	4711914937097 		T09-輕巧化妝盒10g2入
A09	4711914937202 		T20L-壓頭式化妝瓶100ML
A09	4711914934225 		T22P-噴頭式化妝瓶120cc
A09	4711914937288 		T28L-壓頭式化妝瓶75cc
A09	4711914934362 		T36P-噴頭式化妝瓶20cc
A09	4710186063015 		泡舒洗潔精1000g-綠茶去油除腥
A16	4710186051180 		澎澎香浴乳(保濕)850ml
A16	4710186051104 		澎澎清爽沐浴乳850cc
A16	4710186051128 		澎澎滋潤沐浴乳850cc
A09	4893668003140 		碧麗珠傢俱護理噴蠟330ml-百花清香
A02	4710091220152 		優生嬌娃高級粉撲
A09	4711914934188 		T18P-噴頭式化妝瓶30cc
A09	4711914937189 		T18C-壓頭式化妝瓶30cc
A09	4711914934201 		T20P-噴頭式化妝瓶100cc
A09	4711914937226 		T22L-壓頭式化妝瓶120cc
A09	4711914934355 		T35P-噴頭式化妝瓶15cc
A09	4710117600562 		舒適-新輕便刀2支入
A02	4901455150455 		Slippye Mini系列L型眉刀3入
A09	4710314262426 		雷達液體電蚊香組41ml-無味
A09	4711084230103 		奇偉液體鞋油75ml-黑色
A08	4710347781406 		清秀佳人-三角免洗褲5入-L
A08	4710347781383 		清秀佳人-三角免洗褲5入-M
A16	4710076015018 		美吾髮直髮膏-二劑式125g+125ml
A09	4710038783207 		毛寶衣領精噴槍瓶651g
A09	4903111254903 		絲花化妝棉80片(日本版)
A09	4713269012023 		BAC3M耳塞(4入)BA0900
A09	4710332030106 		天工蒂克潔齒劑140g
A16	4711109000025 		舒妃葉綠素毛鱗片 140ML
A10	8888021100198 		永備碳鋅電池-1號-2入
A10	8888021100204 		永備碳鋅電池-2號-2入
A10	8888021100211 		永備碳鋅電池-3號-4入
A10	8888021100327 		永備碳鋅電池-9V
A10	8888021200140 		勁量鹼性電池-1號-2入
A10	8888021200133 		勁量鹼性電池-2號-2入
A16	4711109000285 		舒妃蛋白素毛鱗片 140ML
A01	4710032601460 		嬌生清爽嬰兒油 125ml
A01	4710032601620 		嬌生嬰兒油 300ml
A01	4710032601606 		嬌生嬰兒油 125ml
A09	9310042571491 		舒酸定長效抗敏清涼薄荷牙膏120g
A12	4710035311106 		森永牛奶糖袋裝90g-原味
A09	4718454190401 		MHT-137髮梳-排梳
A09	4718454190388 		MHT307梳盒裝-排梳
A09	4718454190371 		MHT306梳盒裝-排梳
A15	4711101010152 		必安住蚊香 60卷
A09	4710117600432 		舒適雙層-潤滑5刀片
A09	4710117600418 		舒適烏爪2刀-潤滑1刀把2刀片
A09	4710117600449 		舒適烏爪2刀-潤滑5刀片
A08	4710347781420 		清秀佳人-三角免洗褲5入-XL
